timestamp,ip_address,user_id,url,action,category,response_time
2025-07-04 12:02:05.792892,192.168.1.7,user1,http://company-shared-drive.com/HR_docs,ALLOW,Malware,148
2025-07-04 09:11:05.792915,192.168.1.2,user4,http://company-shared-drive.com/document1,BLOCK,E-commerce,243
2025-07-04 09:54:05.792921,192.168.1.6,user10,http://company-shared-drive.com/project,ALLOW,Phishing,165
2025-07-04 14:55:05.792926,192.168.1.7,user5,http://company-shared-drive.com/HR_docs,ALLOW,News,129
2025-07-04 02:19:05.792931,192.168.1.3,user5,http://malicious-website.com/fraud,ALLOW,Malware,136
2025-07-04 10:09:05.792936,197.123.121.123,user9,http://company-shared-drive.com/document1,ALLOW,Phishing,56
2025-07-04 08:55:05.792941,192.168.1.2,user1,http://company-shared-drive.com/document1,ALLOW,News,90
2025-07-03 23:45:05.792947,192.168.1.5,user10,http://company-shared-drive.com/document1,ALLOW,Phishing,257
2025-07-04 11:48:05.792953,192.168.1.3,user5,http://company-shared-drive.com/HR_docs,BLOCK,News,233
2025-07-04 04:09:05.792958,192.168.1.8,user4,http://malicious-website.com/phishing,BLOCK,E-commerce,291
2025-07-04 12:44:05.792963,192.168.1.9,user1,http://company-shared-drive.com/HR_docs,ALLOW,Education,68
2025-07-04 08:28:05.792967,192.168.1.7,user2,http://company-shared-drive.com/HR_docs,BLOCK,Phishing,265
2025-07-04 10:15:05.792972,192.168.1.10,user7,http://company-shared-drive.com/project,BLOCK,News,81
2025-07-04 13:04:05.792976,192.168.1.9,user10,http://company-shared-drive.com/document1,ALLOW,Education,161
2025-07-04 02:30:05.792980,192.168.1.8,user4,http://company-shared-drive.com/document1,ALLOW,Social Media,117
2025-07-04 04:19:05.792986,192.168.1.5,user7,http://malicious-website.com/malware,ALLOW,Malware,157
2025-07-04 08:07:05.792990,192.168.1.3,user9,http://company-shared-drive.com/report,ALLOW,Malware,105
2025-07-04 13:03:05.792995,192.168.1.8,user3,http://company-shared-drive.com/report,ALLOW,News,139
2025-07-04 10:01:05.793000,192.168.1.8,user6,http://company-shared-drive.com/document1,BLOCK,News,100
2025-07-03 22:48:05.793004,192.168.1.8,user10,http://company-shared-drive.com/project,BLOCK,Phishing,228
2025-07-04 09:12:05.793008,192.168.1.3,user9,http://company-shared-drive.com/report,BLOCK,Social Media,273
2025-07-04 14:55:05.793013,192.168.1.1,user6,http://company-shared-drive.com/HR_docs,BLOCK,Social Media,217
2025-07-03 22:53:05.793018,192.168.1.5,user4,http://company-shared-drive.com/HR_docs,BLOCK,Social Media,148
2025-07-03 23:37:05.793022,197.123.195.89,user8,http://company-shared-drive.com/project,BLOCK,Education,144
2025-07-04 05:40:05.793027,192.168.1.2,user4,http://company-shared-drive.com/report,ALLOW,Phishing,296
