timestamp,ip_address,user_id,url,action,category,response_time
2025-07-05 17:09:26.118647,192.168.1.2,user3,http://company-shared-drive.com/report,BLOCK,Internal,256
2025-07-05 13:15:26.118677,192.168.1.6,user5,http://news-website.com/company-news,ALLOW,E-commerce,79
2025-07-05 15:46:26.118681,192.168.1.8,user5,http://company-shared-drive.com/report,ALLOW,Education,214
2025-07-05 07:57:26.118686,192.168.1.9,user4,http://company-shared-drive.com/report,BLOCK,Social Media,180
2025-07-05 09:02:26.118692,192.168.1.1,user5,http://company-shared-drive.com/report,ALLOW,E-commerce,201
2025-07-05 16:22:26.118694,192.168.1.10,user3,http://news-website.com/company-news,ALLOW,Social Media,157
2025-07-05 22:07:26.118698,192.168.1.4,user8,http://company-shard-drive.com/document1,ALLOW,Social Media,212
2025-07-05 09:40:26.118703,192.168.1.7,user5,http://company-shared-drive.com/document1,BLOCK,Education,66
2025-07-05 19:12:26.118713,192.168.1.1,user5,http://company-shared-drive.com/report,ALLOW,Files,176
2025-07-05 06:51:26.118717,192.168.1.10,user9,http://company-shared-drive.com/HR_docs,ALLOW,Files,69
2025-07-05 22:09:26.118721,192.168.1.5,user3,http://company-shared-drive.com/HR_docs,BLOCK,News,136
2025-07-05 21:32:26.118724,192.168.1.1,user4,http://company-shared-drive.com/report,ALLOW,News,264
2025-07-05 08:13:26.118727,192.168.1.8,user10,http://company-shared-drive.com/document1,ALLOW,Files,79
2025-07-05 16:05:26.118731,192.168.1.2,user6,http://company-shared-drive.com/report,BLOCK,Internal,231
2025-07-05 07:56:26.118734,192.168.1.9,user1,http://company-shared-drive.com/project,ALLOW,Social Media,141
2025-07-05 16:44:26.118738,192.168.1.3,user6,http://company-shared-drive.com/document1,ALLOW,News,99
2025-07-05 19:33:26.118740,192.168.1.5,user9,http://company-shared-drive.com/project,BLOCK,News,298
2025-07-05 09:14:26.118742,192.168.1.2,user6,http://company-shared-drive.com/document1,ALLOW,Education,58
2025-07-05 05:44:26.118747,192.168.1.4,user4,http://news-website.com/external-articles,ALLOW,News,50
2025-07-05 17:39:26.118749,192.168.1.7,user5,http://company-shared-drive.com/HR_docs,ALLOW,News,215
2025-07-05 11:48:26.118751,192.168.1.9,user10,http://company-shared-drive.com/report,BLOCK,Internal,70
2025-07-05 22:06:26.118753,192.168.1.6,user4,http://news-website.com/industry-news,ALLOW,Internal,258
2025-07-05 08:50:26.118755,192.168.1.3,user5,http://news-website.com/company-news,ALLOW,E-commerce,127
2025-07-05 19:23:26.118757,192.168.1.2,user5,http://company-shared-drive.com/report,ALLOW,Social Media,72
2025-07-05 19:29:26.118759,192.168.1.3,user1,http://news-website.com/company-news,BLOCK,Social Media,126
2025-07-05 10:02:26.118761,192.168.1.6,user3,http://company-shared-drive.com/HR_docs,ALLOW,E-commerce,75
2025-07-05 15:47:26.118763,192.168.1.1,user8,http://company-shared-drive.com/document1,BLOCK,News,299
2025-07-05 05:41:26.118765,192.168.1.6,user7,http://company-shared-drive.com/project,ALLOW,Internal,177
2025-07-05 13:39:26.118767,192.168.1.8,user1,http://news-website.com/company-news,ALLOW,News,101
2025-07-05 16:54:26.118769,192.168.1.5,user5,http://company-shared-drive.com/HR_docs,ALLOW,News,136
2025-07-05 11:24:26.118771,192.168.1.6,user10,http://company-shared-drive.com/document1,ALLOW,Internal,52
